fid,survey_id,title,survey_date,region,type,lat,lon
1,EX-RO-2506-SAF_A,MORI2_TestSurvey_20250531-0608_RO_AM,2025/6/2,S09W067,🚙,-66.63271981,-9.787784427
2,EX-RO-2506-SAF_B,MORI2_TestSurvey_20250531-0608_RO_AM,2025/6/2,S09W067,🚙,-66.56961483,-9.813724045
3,EX-RO-2506-EX_A,MORI2_TestSurvey_20250531-0608_RO_AM,2025/6/3,S09W067,🚙,-66.28789938,-9.576913832
4,EX-RO-2506-EX_B,MORI2_TestSurvey_20250531-0608_RO_AM,2025/6/3,S09W067,🚙,-66.29941214,-9.577389524
5,EX-RO-2506-EX_C,MORI2_TestSurvey_20250531-0608_RO_AM,2025/6/3,S09W067,🚙,-66.32444259,-9.579228576
6,EX-RO-2506-EX_D,MORI2_TestSurvey_20250531-0608_RO_AM,2025/6/3,S09W067,🚙,-66.33870993,-9.579897451
7,EX-RO-2506-EX_E,MORI2_TestSurvey_20250531-0608_RO_AM,2025/6/3,S09W066,🚙,-65.57882192,-9.737285067
8,PO-RO-2506-PO_F,MORI2_TestSurvey_20250531-0608_RO_AM,2025/6/4,S08W065,🚙,-64.27414146,-8.97345331
9,PO-RO-2506-PO_G1,MORI2_TestSurvey_20250531-0608_RO_AM,2025/6/4,S08W065,🚙,-64.39461651,-8.946810237
10,PO-RO-2506-PO_G2,MORI2_TestSurvey_20250531-0608_RO_AM,2025/6/4,S08W065,🚙,-64.39447701,-8.956000184
11,MA-AM-2506-SAF_MAO_A,MORI2_TestSurvey_20250531-0608_RO_AM,2025/6/6,S02W060,🚙,-59.86573307,-2.934354731
12,MA-AM-2506-SAF_MAO_A,MORI2_TestSurvey_20250531-0608_RO_AM,2025/6/6,S02W060,🚙,-59.86300962,-2.949394532
13,MA-AM-2506-MAO_H,MORI2_TestSurvey_20250531-0608_RO_AM,2025/6/7,S02W060,🚙,-59.36012689,-2.802419547
14,MA-AM-2506-MAO_I,MORI2_TestSurvey_20250531-0608_RO_AM,2025/6/7,S02W060,🚙,-59.35150557,-2.80725216
15,MA-AM-2506-MAO_J,MORI2_TestSurvey_20250531-0608_RO_AM,2025/6/7,S02W060,🚙,-59.34321252,-2.796892273
16,MA-AM-2506-MAO_K,MORI2_TestSurvey_20250531-0608_RO_AM,2025/6/7,S02W060,🚙,-59.32834734,-2.823071394
17,MA-AM-2506-MAO_N,MORI2_TestSurvey_20250531-0608_RO_AM,2025/6/7,S02W060,🚙,-59.3349929,-2.789438051
18,MA-AM-2506-MAO_M,MORI2_TestSurvey_20250531-0608_RO_AM,2025/6/7,S02W060,🚙,-59.32772851,-2.804084848
19,MA-AM-2506-MAO_L,MORI2_TestSurvey_20250531-0608_RO_AM,2025/6/7,S02W060,🚙,-59.30834215,-2.810249534
20,ST-PA-2510-01,FieldSurvey_20251006-16_PA,2025/10/9,S03W054,🚙,-53.7622141,-3.070525646
21,ST-PA-2510-02,FieldSurvey_20251006-16_PA,2025/10/8,S03W054,🚙,-53.78912189,-3.112359753
23,ST-PA-2510-04,FieldSurvey_20251006-16_PA,2025/10/10,S02W055,🚙,-54.73086328,-2.559854972
25,ST-PA-2510-06,FieldSurvey_20251006-16_PA,2025/10/8,S03W054,🚙,-53.85870891,-3.117995718
26,ST-PA-2510-07,FieldSurvey_20251006-16_PA,2025/10/8,S03W054,🚙,-53.82759088,-3.144829342
27,AL-PA-2510-01,FieldSurvey_20251006-16_PA,2025/10/13,S02W052,🚙,-51.59571816,-2.671963633
28,AL-PA-2510-02,FieldSurvey_20251006-16_PA,2025/10/13,S03W052,🚙,-51.73430801,-3.150419993
29,AL-PA-2510-03,FieldSurvey_20251006-16_PA,2025/10/14,S02W052,🚙,-51.47349871,-2.870059985
32,AL-PA-2510-06,FieldSurvey_20251006-16_PA,2025/10/15,S02W052,🚙,-51.82734523,-2.586376919
33,ST-PA-2510-08,FieldSurvey_20251006-16_PA,2025/10/10,S03W055,🚙,-54.97643287,-3.196456591
35,ST-PA-2510-10,FieldSurvey_20251006-16_PA,2025/10/9,S03W054,🚙,-53.78621527,-3.055614309
39,ST-PA-2510-91,FieldSurvey_20251006-16_PA,2025/10/22,S03W054,🚙,-53.23984894,-3.482058072
40,ST-PA-2510-92,FieldSurvey_20251006-16_PA,2025/10/21,S03W054,🚙,-53.19934736,-3.406874756
41,ST-PA-2510-93,FieldSurvey_20251006-16_PA,2025/10/23,S03W054,🚙,-53.22301493,-3.351067264
42,ST-PA-2510-94,FieldSurvey_20251006-16_PA,2025/10/23,S03W054,🚙,-53.21975934,-3.336256396
43,ST-PA-2510-95,FieldSurvey_20251006-16_PA,2025/10/23,S03W054,🚙,-53.22773657,-3.334763381
44,AB-RO-2305-01a,FieldSurvey_20230525-0601_RO_AC,2023/5/26,S09W067,🚁,-66.0346892,-9.56324202
45,AB-RO-2305-01b,FieldSurvey_20230525-0601_RO_AC,2023/5/26,S09W067,🚁,-66.03227869,-9.556848341
46,AB-RO-2305-02,FieldSurvey_20230525-0601_RO_AC,2023/5/26,S09W066,🚁,-65.96145036,-9.271981602
47,AB-RO-2305-03,FieldSurvey_20230525-0601_RO_AC,2023/5/26,S09W067,🚁,-66.00978082,-9.190555785
48,AB-RO-2305-05,FieldSurvey_20230525-0601_RO_AC,2023/5/26,S09W066,🚁,-65.78721669,-9.182258615
49,AB-RO-2305-06a,FieldSurvey_20230525-0601_RO_AC,2023/5/26,S09W066,🚁,-65.77639181,-9.184618407
50,AB-RO-2305-06b,FieldSurvey_20230525-0601_RO_AC,2023/5/26,S09W066,🚁,-65.78039618,-9.189040934
51,AL-PA-2202-01,FieldSurvey_20220214-21_PA,2022/2/16,S03W052,🚙,-51.59836738,-3.092226625
